,mean_q,mean_r,mean_s,stdev_q,stdev_r,stdev_s,mean_qrs_interval,mean_rr_interval,mean_rq_amplitude,person
0,-0.02113650213333597,1.2260854488607222,-0.38850557946242387,0.10841281738428504,0.17970404323132916,0.17053685021460666,371.5,1.2472219509940583,42.0,person72
1,-0.24635300036355753,0.6856899594101734,-0.4640264302441209,0.11364273475534237,0.11736053430996804,0.11999245507516669,370.0,0.9320429597737309,41.5,person72
2,-0.019730527844347742,0.9155998234427668,-0.253232011828538,0.03528610893631135,0.025174179664761133,0.039325245822513316,476.3333333333333,0.9353303512871145,36.25,person72
3,0.14803757240399623,1.0652201021742416,-0.12439808175378174,0.055521564415664415,0.05433498207719917,0.0422809025868098,464.3333333333333,0.9171825297702454,39.0,person72
4,0.03685015585231655,0.9428935665545621,-0.2673142976123285,0.16342281748031237,0.15941027213248052,0.1638052550740825,429.0,0.9060434107022455,36.0,person72
5,-0.7617035874838309,0.15758567558997957,-1.0696598988904715,0.0,0.0,0.0,,0.9192892630738105,35.0,person72
6,-0.44102001601626123,0.6330062230038381,-0.5997897570547135,0.0,0.0,0.0,,1.0740262390200994,51.0,person72
7,5.499262370259011,6.083653833016165,5.568878692294466,0.772308051216497,1.1064478175349772,0.6363495594933402,243.5,0.5843914627571548,56.0,person72
8,7.927885355270138,8.600960335302771,7.738950906966033,0.8755716159857021,1.1555832402172481,0.7424894212597265,315.8,0.673074980032633,42.166666666666664,person72
9,-0.4465599157809405,0.4814939835004864,-0.765878057696066,0.0,0.0,0.0,,0.9280538992814269,32.0,person72
10,5.033436509264032,5.38063928006535,5.1959206842429495,0.49366830022353403,0.5946862823455454,0.4360253610649125,201.0,0.34720277080131856,58.0,person72
11,4.255062315878529,4.583198705558537,4.412420773126907,0.28470589316196815,0.20275429216126728,0.3474745500511305,200.0,0.328136389680008,57.0,person72
12,8.035828076218616,8.52782247062077,7.870779249538321,1.008279212066531,1.229498151899223,0.9060559742459187,267.25,0.4919943944021522,45.4,person72
13,-0.20608217605268314,0.9134999340748837,-0.538831141744313,0.03759713010306187,0.21396656336850178,0.08633490593544374,1661.0,1.119582110127567,48.5,person72
14,8.024165088999686,8.592278153052783,7.860324127946389,0.8787557175398585,1.1548041775215214,0.7623488727875156,291.0,0.568113064053097,46.166666666666664,person72
15,-0.10514499047088825,0.8026553284696248,-0.41181198101782795,0.11010478586534204,0.10054206895525175,0.10362242905675983,431.0,0.907800318940513,31.5,person72
